xAcc,yAcc,zAcc,xGyro,yGyro,zGyro,label
-0.15,-0.16,0.99,0.49,0.24,0.37,1
-0.15,-0.16,0.99,0.61,0.18,0.55,1
-0.15,-0.15,0.98,0.06,0.12,0.24,1
-0.15,-0.16,0.99,0.92,0.31,0.43,1
-0.15,-0.16,0.98,0.49,0.37,0.24,1
-0.15,-0.16,0.99,0.55,0.06,0.12,1
-0.14,-0.27,0.99,0.49,0.24,0.24,1
-0.15,-0.16,0.99,0.37,0.37,0.12,1
-0.15,-0.16,0.98,0.37,0.24,0.18,1
-0.15,-0.16,0.98,0.98,0.43,0.49,1
-0.15,-0.16,0.99,-0.18,0.12,0.12,1
-0.15,-0.16,0.98,0.49,0.24,0.43,1
-0.15,-0.16,0.98,0.18,0,0,1
-0.15,-0.16,0.98,0.37,0.24,0.43,1
-0.15,-0.17,0.98,0.67,0.12,0.18,1
-0.15,-0.16,0.99,0.85,0.24,0.24,1
-0.15,-0.16,0.99,0.43,0.24,0.24,1
-0.15,-0.16,0.98,0.98,0.18,0.31,1
-0.15,-0.16,0.98,0.98,0.31,0.49,1
-0.15,-0.16,0.98,0.67,0.37,0.43,1
-0.15,-0.13,0.99,-0.61,-0.06,0.06,1
-0.15,-0.16,0.98,0.43,0.06,0.24,1
-0.15,-0.15,0.99,0.24,0.43,0.37,1
-0.15,-0.15,0.99,0.18,0.06,0.18,1
-0.15,-0.16,0.99,0.43,0.37,0.37,1
-0.15,-0.15,0.99,0.37,0.24,0.18,1
-0.15,-0.16,0.99,1.22,0.43,0.43,1
-0.15,-0.16,0.99,0.18,0.12,0.24,1
-0.14,-0.16,0.99,0.49,0.24,0.31,1
-0.14,-0.16,0.99,0.24,0.31,0.49,1
-0.15,-0.15,0.99,-0.12,0.24,0.24,1
-0.15,-0.14,0.99,0.73,0.18,0.18,1
-0.15,-0.15,0.99,0.73,0.37,0.37,1
-0.15,-0.14,0.99,0.67,0.55,0.24,1
-0.15,-0.14,0.99,0.31,0.18,0.31,1
-0.15,-0.14,0.99,0.61,0.06,0.43,1
-0.15,-0.14,0.99,0.85,0.06,0.18,1
-0.15,-0.14,0.99,0.55,0.43,0.18,1
-0.15,-0.15,0.99,0.43,0.37,0.43,1
